ID,Pergunta,RespostaCorreta,Dificuldade
1,Que objeto redondo é usado para capturar e guardar os Pokémon?,pokebola,Fácil
2,Qual o nome do famoso Pokémon amarelo que solta choques elétricos?,pikachu,Fácil
3,Qual dos Pokémon iniciais de Kanto é do tipo Planta?,bulbassauro,Fácil
4,Que Pokémon evolui para um dragão laranja gigante chamado Charizard?,charmander,Fácil
5,Qual o nome do Pokémon que é uma tartaruga azul com canhões de água nas costas?,blastoise,Fácil
6,"Qual o nome do time de vilões liderado por Giovanni, que usa um ""R"" no peito?",equipe rocket,Fácil
7,Que Pokémon é conhecido por dormir em lugares inconvenientes e bloquear estradas?,snorlax,Fácil
8,Qual o poder especial do Jigglypuff que faz todo mundo dormir?,cantar,Fácil
9,Que Pokémon pássaro lendário representa o elemento Gelo?,articuno,Fácil
10,Qual o nome do rato roxo que evolui para Raticate?,rattata,Fácil
11,Que Pokémon fantasma roxo é conhecido por seu sorriso largo e por pregar peças?,gengar,Fácil
12,Qual o nome do cientista e especialista em Pokémon da cidade de Pallet?,professor carvalho,Fácil
13,Qual o nome do Pokémon que pode se transformar em qualquer outro Pokémon?,ditto,Fácil
14,Que Pokémon do tipo Água é famoso por ser quase inútil antes de evoluir para Gyarados?,magikarp,Fácil
15,Qual o nome da enfermeira que sempre está nos Centros Pokémon para curar seus amigos?,enfermeira joy,Fácil
16,Que Pokémon psíquico é famoso por carregar uma colher?,kadabra,Fácil
17,Qual o nome do pássaro lendário do elemento Fogo?,moltres,Fácil
18,Qual o nome do cavalo de fogo com crina e cauda flamejantes?,ponyta,Fácil
19,Que Pokémon é uma cobra de pedra gigante?,onix,Fácil
20,Qual o nome da policial que sempre aparece nas cidades para manter a ordem?,policial jenny,Fácil
21,Que Pokémon é uma raposa elegante de nove caudas?,ninetales,Fácil
22,Qual o nome do pássaro lendário do elemento Trovão?,zapdos,Fácil
23,Qual o nome do Pokémon que usa um osso como arma e um crânio como capacete?,cubone,Fácil
24,Que item é usado para restaurar a vida de um Pokémon durante uma batalha?,pocao,Fácil
25,"Qual Pokémon é conhecido como o ""ancestral de todos os outros""?",mew,Fácil
26,Qual o nome do Pokémon que é uma cópia genética superpoderosa do Mew?,mewtwo,Fácil
27,Qual o nome do caranguejo laranja com uma grande pinça?,krabby,Fácil
28,Que Pokémon é feito inteiramente de código de programação?,porygon,Fácil
29,Qual dos Pokémon iniciais de Kanto é do tipo Água?,squirtle,Fácil
30,Qual o nome do Pokémon que tem um alho-poró como sua arma?,farfetchd,Fácil
31,Que Pokémon evolui de Bulbassauro e tem uma flor parcialmente aberta em suas costas?,ivysaur,Fácil
32,"Qual é a evolução final do Bulbassauro, com uma grande flor nas costas?",venusaur,Média
33,Qual é a primeira evolução do Charmander?,charmeleon,Fácil
34,Qual é a primeira evolução do Squirtle?,wartortle,Fácil
35,Que Pokémon inseto evolui para Metapod?,caterpie,Fácil
36,Em que casulo o Caterpie se transforma antes de virar uma Butterfree?,metapod,Fácil
37,Qual Pokémon borboleta é a forma final do Caterpie?,butterfree,Fácil
38,Que Pokémon larva venenosa é a contraparte do Caterpie?,weedle,Fácil
39,Em que casulo o Weedle se transforma?,kakuna,Fácil
40,Qual Pokémon abelha venenosa é a evolução final do Weedle?,beedrill,Média
41,Que pequeno pássaro Pokémon é comumente encontrado nas primeiras rotas de Kanto?,pidgey,Fácil
42,Qual é a evolução do Pidgey?,pidgeotto,Fácil
43,Qual é a majestosa evolução final do Pidgey?,pidgeot,Média
44,Qual Pokémon rato de pelo marrom é conhecido por seus grandes dentes?,raticate,Fácil
45,Que pássaro Pokémon tem um bico longo e afiado e evolui para Fearow?,spearow,Fácil
46,Qual é a evolução intimidadora do Spearow?,fearow,Média
47,"Que Pokémon cobra venenosa tem o nome derivado de ""snake"" ao contrário?",ekans,Fácil
48,"Qual é a evolução do Ekans, com um padrão assustador em sua barriga?",arbok,Média
49,"Qual é a evolução do Pikachu, que pode ser obtida com uma Pedra do Trovão?",raichu,Fácil
50,Que Pokémon terrestre se enrola como uma bola para se proteger?,sandshrew,Fácil
51,"Qual é a evolução do Sandshrew, com grandes garras e espinhos nas costas?",sandslash,Média
52,Qual Pokémon venenoso fêmea evolui para Nidorina?,nidoran♀,Fácil
53,Qual é a segunda forma na linha evolutiva do Nidoran♀?,nidorina,Média
54,"Qual é a poderosa evolução final do Nidoran♀, que requer uma Pedra da Lua?",nidoqueen,Difícil
55,Qual Pokémon venenoso macho evolui para Nidorino?,nidoran♂,Fácil
56,Qual é a segunda forma na linha evolutiva do Nidoran♂?,nidorino,Média
57,"Qual é a poderosa evolução final do Nidoran♂, que requer uma Pedra da Lua?",nidoking,Difícil
58,Que Pokémon fada rosa é dito ter vindo da lua?,clefairy,Fácil
59,"Qual é a evolução do Clefairy, que também usa uma Pedra da Lua?",clefable,Média
60,Qual raposa de fogo é a forma base do Ninetales?,vulpix,Fácil
61,Qual é a evolução fofinha e redonda do Jigglypuff?,wigglytuff,Média
62,Que Pokémon morcego é comumente encontrado em cavernas?,zubat,Fácil
63,"Qual é a evolução do Zubat, com uma boca ainda maior?",golbat,Fácil
64,Que Pokémon planta parece uma pequena erva daninha azul?,oddish,Fácil
65,Qual é a evolução do Oddish que parece estar babando?,gloom,Média
66,"Qual é uma das evoluções finais do Gloom, que tem uma grande flor na cabeça?",vileplume,Média
67,Que Pokémon inseto/planta tem cogumelos crescendo em suas costas?,paras,Fácil
68,"Qual é a evolução do Paras, onde os cogumelos assumem o controle?",parasect,Média
69,Que Pokémon inseto roxo tem grandes olhos vermelhos?,venonat,Fácil
70,"Qual é a evolução do Venonat, uma mariposa venenosa?",venomoth,Média
71,Que Pokémon toupeira vive no subsolo e odeia a luz do sol?,diglett,Fácil
72,"Qual é a evolução do Diglett, composta por três indivíduos?",dugtrio,Fácil
73,Que Pokémon gato é famoso por ser o parceiro de James da Equipe Rocket?,meowth,Fácil
74,Qual é a elegante e esnobe evolução do Meowth?,persian,Média
75,Que Pokémon pato amarelo sofre de dores de cabeça constantes?,psyduck,Fácil
76,"Qual é a evolução do Psyduck, um pato azul com poderes psíquicos?",golduck,Média
77,Que Pokémon macaco lutador fica furioso com facilidade?,mankey,Fácil
78,Qual é a evolução furiosa e ainda mais poderosa do Mankey?,primeape,Média
79,Que Pokémon cão de fogo é conhecido por sua lealdade?,growlithe,Fácil
80,Qual é a majestosa e veloz evolução do Growlithe?,arcanine,Média
81,Que Pokémon girino tem uma espiral em sua barriga?,poliwag,Fácil
82,Qual é a evolução do Poliwag que ganha luvas de boxe?,poliwhirl,Média
83,Qual é a evolução final do Poliwag que também é do tipo Lutador?,poliwrath,Difícil
84,Que Pokémon psíquico se teletransporta para fugir do perigo?,abra,Fácil
85,"Qual é a evolução final do Abra, um mestre dos poderes psíquicos?",alakazam,Média
86,Que Pokémon lutador parece um pequeno humanoide cinza?,machop,Fácil
87,"Qual é a evolução do Machop, que usa um cinto para controlar seu poder?",machoke,Média
88,Qual é a evolução de quatro braços do Machop?,machamp,Média
89,Que Pokémon planta parece um sino com uma folha na cabeça?,bellsprout,Fácil
90,"Qual é a evolução do Bellsprout, que tem a forma de um sino maior?",weepinbell,Média
91,"Qual é a evolução final do Bellsprout, uma planta carnívora?",victreebel,Média
92,Que Pokémon água-viva azul é comum nos mares de Kanto?,tentacool,Fácil
93,Qual é a gigante e temível evolução do Tentacool?,tentacruel,Média
94,Que Pokémon rocha tem a aparência de uma pedra com braços?,geodude,Fácil
95,"Qual é a evolução do Geodude, uma rocha maior e mais robusta?",graveler,Média
96,"Qual é a evolução final do Geodude, que só pode ser obtida por troca?",golem,Difícil
97,"Qual é a evolução da Ponyta, um unicórnio de fogo?",rapidash,Média
98,Que Pokémon rosa e lento tem uma cauda saborosa?,slowpoke,Fácil
99,Qual é a evolução do Slowpoke que ocorre quando um Shellder morde sua cauda?,slowbro,Média
100,Que Pokémon é um ímã com um olho só?,magnemite,Fácil
101,"Qual é a evolução do Magnemite, composta por três deles?",magneton,Fácil
102,Que Pokémon pássaro de duas cabeças corre em alta velocidade?,doduo,Fácil
103,Qual é a evolução de três cabeças do Doduo?,dodrio,Média
104,Que Pokémon foca branca tem um pequeno chifre na cabeça?,seel,Fácil
105,"Qual é a graciosa evolução do Seel, que vive em águas geladas?",dewgong,Média
106,Que Pokémon lodo roxo nasce da poluição?,grimer,Fácil
107,Qual é a evolução maior e mais tóxica do Grimer?,muk,Média
108,Que Pokémon concha protege seu interior macio com uma casca dura?,shellder,Fácil
109,"Qual é a evolução do Shellder, com uma concha extremamente resistente?",cloyster,Média
110,Que Pokémon fantasma é uma esfera de gás venenoso?,gastly,Fácil
111,"Qual é a evolução do Gastly, um fantasma com mãos flutuantes?",haunter,Média
112,Que Pokémon sonolento come os sonhos das pessoas?,drowzee,Fácil
113,"Qual é a evolução do Drowzee, que carrega um pêndulo?",hypno,Média
114,"Qual é a evolução do Krabby, com uma pinça desproporcionalmente grande?",kingler,Média
115,Que Pokémon se assemelha a uma Poké Bola e é conhecido por explodir?,voltorb,Fácil
116,"Qual é a evolução do Voltorb, ainda mais propenso a usar o golpe Autodestruição?",electrode,Média
117,Que Pokémon é um grupo de sementes psíquicas que se parecem com ovos?,exeggcute,Fácil
118,"Qual é a evolução do Exeggcute, uma palmeira com múltiplas cabeças?",exeggutor,Média
119,"Qual é a evolução do Cubone, que superou a perda de sua mãe?",marowak,Média
120,Que Pokémon lutador é conhecido por seus chutes poderosos?,hitmonlee,Média
121,Que Pokémon lutador é especialista em socos?,hitmonchan,Média
122,Que Pokémon rosa usa sua longa língua para explorar o ambiente?,lickitung,Média
123,Que Pokémon de gás venenoso flutua no ar?,koffing,Fácil
124,"Qual é a evolução do Koffing, composta por duas cabeças?",weezing,Média
125,Que Pokémon rinoceronte de pedra tem uma armadura rochosa?,rhyhorn,Fácil
126,Qual é a poderosa evolução do Rhyhorn?,rhydon,Média
127,Que Pokémon rosa carrega um ovo em sua bolsa e é assistente da Enfermeira Joy?,chansey,Média
128,Que Pokémon é um emaranhado de vinhas azuis com pés vermelhos?,tangela,Média
129,Que Pokémon marsupial carrega seu filhote na bolsa?,kangaskhan,Média
130,Que Pokémon cavalo-marinho dispara tinta para se defender?,horsea,Fácil
131,"Qual é a evolução do Horsea, um dragão marinho com espinhos venenosos?",seadra,Média
132,Que Pokémon peixe dourado tem um chifre na testa?,goldeen,Fácil
133,"Qual é a evolução do Goldeen, conhecido como o rei dos mares?",seaking,Média
134,Que Pokémon estrela-do-mar tem um núcleo vermelho brilhante?,staryu,Fácil
135,"Qual é a misteriosa evolução do Staryu, com um núcleo multicolorido?",starmie,Média
136,Que Pokémon mímico é especialista em criar barreiras invisíveis?,mr. mime,Média
137,Que Pokémon inseto verde tem lâminas afiadas no lugar dos braços?,scyther,Média
138,Que Pokémon humanoide de gelo e psíquico é conhecido por sua dança peculiar?,jynx,Média
139,Que Pokémon elétrico tem a aparência de um demônio japonês (oni)?,electabuzz,Média
140,Que Pokémon de fogo vive em vulcões e tem um bico de pato?,magmar,Média
141,Que Pokémon besouro tem um par de chifres que usa para esmagar seus oponentes?,pinsir,Média
142,Que Pokémon touro selvagem é conhecido por seus três rabos?,tauros,Média
143,"Qual é a aterrorizante evolução do Magikarp, um dragão do tipo Água e Voador?",gyarados,Média
144,Que Pokémon gentil e aquático é usado para transporte através dos mares?,lapras,Média
145,Que Pokémon tem um código genético instável e pode evoluir para múltiplas formas?,eevee,Fácil
146,Qual é a evolução do tipo Água do Eevee?,vaporeon,Média
147,Qual é a evolução do tipo Elétrico do Eevee?,jolteon,Média
148,Qual é a evolução do tipo Fogo do Eevee?,flareon,Média
149,Que Pokémon fóssil é ressuscitado do Fóssil Hélice?,omanyte,Difícil
150,Qual é a evolução do Omanyte?,omastar,Difícil
151,Que Pokémon fóssil é ressuscitado do Fóssil Domo?,kabuto,Difícil
152,"Qual é a evolução do Kabuto, com lâminas afiadas?",kabutops,Difícil
153,Que Pokémon pré-histórico foi ressuscitado a partir do Âmbar Antigo?,aerodactyl,Difícil
154,Qual é a primeira evolução do Dratini?,dragonair,Média
155,Qual é o poderoso e gentil pseudo-lendário que evolui de Dragonair?,dragonite,Média
156,Qual item é necessário para evoluir um Pikachu para Raichu?,pedra do trovão,Fácil
157,Em que cidade de Kanto se localiza o ginásio de tipo Psíquico de Sabrina?,saffron,Média
158,Qual é o nome do rival do protagonista nos jogos Red e Blue?,blue (ou green),Fácil
159,Quantas insígnias de ginásio são necessárias para desafiar a Liga Pokémon em Kanto?,oito,Fácil
160,Qual tipo de Pokémon é super eficaz contra o tipo Psíquico na primeira geração?,inseto,Difícil
161,Qual o nome da ilha onde Mewtwo foi criado?,ilha cinnabar,Difícil
162,Que item permite ao jogador pescar Pokémon em corpos d'água?,vara de pescar,Fácil
163,Qual o nome da bicicleta que o jogador pode obter para se locomover mais rápido?,bicicleta,Fácil
164,Que máquina é usada para sortear prêmios no Cassino de Celadon?,caça-níqueis,Fácil
165,Qual é o nome do navio de luxo que atraca em Vermilion City?,s.s. anne,Média
166,Que tipo de flauta é usada para acordar o Snorlax?,poké flauta,Média
167,Qual o nome da zona de safári onde os jogadores podem capturar Pokémon raros?,zona do safari,Fácil
168,Qual membro da Elite dos Quatro de Kanto é especialista em Pokémon do tipo Gelo?,lorelei,Média
169,Qual membro da Elite dos Quatro de Kanto é especialista em Pokémon do tipo Lutador?,bruno,Média
170,Qual membro da Elite dos Quatro de Kanto é especialista em Pokémon do tipo Fantasma?,agatha,Média
171,Qual é o nome do campeão da Liga Pokémon de Kanto antes do jogador?,lance,Média
172,Qual item restaura completamente o PP de todos os movimentos de um Pokémon?,elixir max,Difícil
173,"Qual é o ataque característico do Smeargle, que permite copiar o último movimento usado pelo oponente?",sketch,Difícil
174,Como se chama a habilidade que impede a redução de stats do Pokémon?,corpo puro,Difícil
175,Qual o nome da cidade natal de Ash Ketchum no anime?,pallet,Fácil
176,Que item de cura restaura 200 HP de um Pokémon?,hyper potion,Média
177,Qual a cidade em Kanto que não possui um Ginásio Pokémon?,pallet,Fácil
178,"Qual o nome do ataque que sempre acerta o oponente, independentemente da precisão ou evasão?",swift,Média
179,"Qual o nome do item que, quando segurado por um Pokémon, aumenta a taxa de acerto crítico?",scope lens,Difícil
180,Qual o nome da empresa responsável pelo desenvolvimento dos jogos principais de Pokémon?,game freak,Média